"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,2,107722,1e+06,5000,500,1000,-5000,-500,1000
0,2,107722,1e+06,1000,100,2000,-1000,-100,2000
0,2,107722,1e+06,5000,500,2000,-5000,-500,2000
0,2,232079,1e+06,1000,100,20,-1000,-100,20
0,2,232079,1e+06,5000,500,20,-5000,-500,20
0,2,232079,1e+06,1000,100,50,-1000,-100,50
0,2,232079,1e+06,5000,500,50,-5000,-500,50
0,2,232079,1e+06,1000,100,100,-1000,-100,100
0,2,232079,1e+06,5000,500,100,-5000,-500,100
0,2,232079,1e+06,1000,100,200,-1000,-100,200
0,2,232079,1e+06,5000,500,200,-5000,-500,200
0,2,232079,1e+06,1000,100,500,-1000,-100,500
0,2,232079,1e+06,5000,500,500,-5000,-500,500
0,2,232079,1e+06,1000,100,1000,-1000,-100,1000
0,2,232079,1e+06,5000,500,1000,-5000,-500,1000
0,2,232079,1e+06,1000,100,2000,-1000,-100,2000
0,2,232079,1e+06,5000,500,2000,-5000,-500,2000
0,2,5e+05,1e+06,1000,100,20,-1000,-100,20
0,2,5e+05,1e+06,5000,500,20,-5000,-500,20
0,2,5e+05,1e+06,1000,100,50,-1000,-100,50
0,2,5e+05,1e+06,5000,500,50,-5000,-500,50
0,2,5e+05,1e+06,1000,100,100,-1000,-100,100
0,2,5e+05,1e+06,5000,500,100,-5000,-500,100
0,2,5e+05,1e+06,1000,100,200,-1000,-100,200
0,2,5e+05,1e+06,5000,500,200,-5000,-500,200
0,2,5e+05,1e+06,1000,100,500,-1000,-100,500
0,2,5e+05,1e+06,5000,500,500,-5000,-500,500
0,2,5e+05,1e+06,1000,100,1000,-1000,-100,1000
0,2,5e+05,1e+06,5000,500,1000,-5000,-500,1000
0,2,5e+05,1e+06,1000,100,2000,-1000,-100,2000
0,2,5e+05,1e+06,5000,500,2000,-5000,-500,2000
